07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:23 | POST | cafeteria-api/pedidos
07-04-2026 16:03:23 | POST | cafeteria-api/pedidos
07-04-2026 16:03:23 | POST | cafeteria-api/pedidos
07-04-2026 16:03:23 | POST | cafeteria-api/pedidos
07-04-2026 16:03:26 | GET | cafeteria-api/produtos
07-04-2026 16:06:25 | GET | cafeteria-api/pedidos
07-04-2026 16:06:27 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:06:27 | POST | cafeteria-api/pedidos
07-04-2026 16:06:32 | GET | cafeteria-api/pedidos
07-04-2026 16:06:32 | GET | cafeteria-api/pedidos
07-04-2026 16:06:35 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:06:35 | POST | cafeteria-api/pedidos
07-04-2026 16:06:35 | POST | cafeteria-api/pedidos
07-04-2026 16:06:35 | POST | cafeteria-api/pedidos
07-04-2026 16:06:47 | GET | cafeteria-api/pedidos
07-04-2026 16:06:47 | GET | cafeteria-api/pedidos
07-04-2026 16:06:51 | GET | cafeteria-api/pedidos
07-04-2026 16:06:51 | GET | cafeteria-api/pedidos
07-04-2026 16:06:56 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:06:56 | POST | cafeteria-api/pedidos
07-04-2026 16:06:57 | POST | cafeteria-api/pedidos
07-04-2026 16:06:57 | POST | cafeteria-api/pedidos
07-04-2026 16:06:57 | POST | cafeteria-api/pedidos
07-04-2026 16:06:57 | POST | cafeteria-api/pedidos
07-04-2026 16:06:57 | POST | cafeteria-api/pedidos
07-04-2026 16:06:58 | POST | cafeteria-api/pedidos
07-04-2026 16:10:07 | GET | cafeteria-api/pedidos
07-04-2026 16:12:02 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:12:02 | POST | cafeteria-api/pedidos
07-04-2026 16:12:02 | POST | cafeteria-api/pedidos
07-04-2026 16:12:02 | POST | cafeteria-api/pedidos
07-04-2026 16:12:03 | POST | cafeteria-api/pedidos
07-04-2026 16:12:03 | POST | cafeteria-api/pedidos
07-04-2026 16:12:14 | GET | cafeteria-api/pedidos
07-04-2026 16:12:14 | GET | cafeteria-api/pedidos
07-04-2026 16:12:16 | GET | cafeteria-api/pedidos
07-04-2026 16:12:18 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:12:18 | POST | cafeteria-api/pedidos
07-04-2026 16:12:20 | POST | cafeteria-api/pedidos
07-04-2026 16:12:20 | POST | cafeteria-api/pedidos
07-04-2026 16:12:20 | POST | cafeteria-api/pedidos
07-04-2026 16:12:20 | POST | cafeteria-api/pedidos
07-04-2026 16:12:53 | GET | cafeteria-api/pedidos
07-04-2026 16:14:36 | GET | cafeteria-api/pedidos.php
07-04-2026 16:14:44 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:14:44 | POST | cafeteria-api/pedidos
07-04-2026 16:16:37 | GET | cafeteria-api/pedidos
07-04-2026 16:17:01 | GET | cafeteria-api/pedidos
07-04-2026 16:17:02 | GET | cafeteria-api/pedidos
07-04-2026 16:17:09 | GET | cafeteria-api/pedidos
07-04-2026 16:17:09 | GET | cafeteria-api/pedidos
07-04-2026 16:17:13 | GET | cafeteria-api/pedidos
07-04-2026 16:17:14 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:17:14 | POST | cafeteria-api/pedidos
07-04-2026 16:17:22 | GET | cafeteria-api/pedidos
07-04-2026 16:17:27 | GET | cafeteria-api/pedidos
07-04-2026 16:17:27 | GET | cafeteria-api/pedidos
07-04-2026 16:17:29 | GET | cafeteria-api/pedidos
07-04-2026 16:17:39 | GET | cafeteria-api/pedidos
